movie_name,released_year,genre,duration_min,user_rating,critics_rating,votes
Only the Brave,2017,"Action, Biography, Drama",134,7.7,72,47923
A Million Little Pieces,2018,Drama,113,6.6,50,267
Velvet Buzzsaw,2019,"Horror, Mystery, Thriller",113,5.7,61,44017
Billionaire Boys Club,2018,"Biography, Drama, Thriller",108,5.6,30,8384
The Foreigner I ,2017,"Action, Thriller",113,7.0,55,84506
The Nightingale I ,2018,"Adventure, Drama, Thriller",136,7.3,76,1587
Hotel Artemis,2018,"Action, Crime, Drama",94,6.1,58,33985
47 Meters Down,2017,"Adventure, Drama, Horror",89,5.6,52,41701
Flatliners,2017,"Drama, Horror, Mystery",109,5.2,27,35782
Rough Night,2017,"Comedy, Crime, Thriller",101,5.2,51,41219
Crypto,2019,"Crime, Drama, Thriller",105,5.6,,2120
The Lego Movie 2: The Second Part,2019,"Animation, Action, Adventure",107,6.7,65,38276
"Love, Simon",2018,"Comedy, Drama, Romance",110,7.6,72,85377
Rampage,2018,"Action, Adventure, Sci-Fi",107,6.1,45,121803
The Professor,2018,"Comedy, Drama",90,6.7,37,12048
Gifted,2017,Drama,101,7.6,60,85964
Death Wish,2018,"Action, Crime, Drama",107,6.4,31,53347
Rust Creek,2018,"Drama, Horror, Thriller",108,5.8,59,3485
The Two Popes,2019,Drama,125,7.6,83,121
Asher II,2018,"Action, Drama, Thriller",104,5.4,58,1663
Life I ,2017,"Horror, Sci-Fi, Thriller",104,6.6,54,187082
Luce,2019,Drama,109,7.2,73,1162
Isle of Dogs,2018,"Animation, Adventure, Comedy",101,7.9,82,114651
Maze Runner: The Death Cure,2018,"Action, Sci-Fi, Thriller",143,6.2,50,95366
Unplanned,2019,"Biography, Drama",109,5.8,10,9869
On the Basis of Sex,2018,"Biography, Drama",120,6.9,59,15003
The Post,2017,"Biography, Drama, History",116,7.2,83,111978
Light of My Life,2019,Drama,119,6.6,67,2538
Polaroid I ,2019,"Drama, Horror, Thriller",88,5.1,,4649
You Can Choose Your Family,2018,Comedy,109,5.7,41,378
Outlaw King,2018,"Action, Biography, Drama",121,6.9,59,47716
The Glass Castle,2017,"Biography, Drama",127,7.1,56,24930
Night School,2018,Comedy,111,5.6,43,26902
Jigsaw I ,2017,"Horror, Mystery, Thriller",92,5.8,39,59550
Christopher Robin,2018,"Adventure, Comedy, Drama",104,7.3,60,57275
Siberia,2018,"Crime, Romance, Thriller",104,4.3,34,9754
Assassination Nation,2018,"Action, Comedy, Crime",108,5.9,56,10832
Hell Fest,2018,Horror,89,5.5,26,9893
Mowgli,2018,"Adventure, Drama, Fantasy",104,6.5,51,48248
Them That Follow,2019,Thriller,98,5.4,58,505
Missing Link,2019,"Animation, Adventure, Comedy",93,6.7,68,8100
The Beguiled,2017,"Drama, Thriller",93,6.3,77,44749
A Wrinkle in Time,2018,"Adventure, Family, Fantasy",109,4.2,53,36335
Life Itself,2018,"Drama, Romance",117,6.6,21,10883
After the Wedding,2019,Drama,112,5.9,51,611
Hotel Transylvania 3: Summer Vacation,2018,"Animation, Adventure, Comedy",97,6.3,54,45487
Charlie Says,2018,"Biography, Crime, Drama",110,5.7,57,1213
The Wind II,2018,"Horror, Western",86,5.5,66,3372
The Grinch,2018,"Animation, Family, Fantasy",85,6.3,51,32876
Adrift I ,2018,"Action, Adventure, Biography",96,6.6,56,37099
The Haunting of Sharon Tate,2019,"Drama, Horror, Thriller",94,2.9,8,2054
Skyscraper,2018,"Action, Adventure, Thriller",102,5.8,51,87020
The Nutcracker and the Four Realms,2018,"Adventure, Family, Fantasy",99,5.5,39,21720
Smallfoot,2018,"Animation, Adventure, Comedy",96,6.6,60,26239
War for the Planet of the Apes,2017,"Action, Adventure, Drama",140,7.4,82,207081
Suburbicon,2017,"Comedy, Crime, Drama",105,5.6,42,32981
Eighth Grade,2018,"Comedy, Drama",93,7.4,89,47626
Unsane,2018,"Drama, Horror, Mystery",98,6.4,63,33788
Bad Samaritan,2018,"Crime, Horror, Thriller",110,6.4,42,14635
Happy Death Day 2U,2019,"Comedy, Horror, Mystery",100,6.2,57,36541
Pacific Rim: Uprising,2018,"Action, Adventure, Sci-Fi",111,5.6,44,92919
Blockers,2018,Comedy,102,6.2,69,60083
Bigger,2018,"Biography, Drama",107,6.4,37,1491
American Woman,2018,Drama,111,6.5,67,667
Tully,2018,"Comedy, Drama, Mystery",95,7.0,75,43752
The Commuter I ,2018,"Action, Mystery, Thriller",105,6.3,56,87143
Overboard,2018,"Comedy, Romance",112,5.9,42,27916
Wine Country,2019,Comedy,103,5.4,56,14533
The Death of Stalin,2017,"Comedy, Drama, History",107,7.2,88,66345
The Kid II,2019,"Biography, Drama, Western",100,5.9,51,3682
Burn II,2019,Thriller,88,5.6,50,1030
Nightmare Cinema,2018,Horror,119,5.4,60,1542
All the Money in the World,2017,"Biography, Crime, Drama",132,6.8,72,62593
Vox Lux,2018,"Drama, Music",114,6.0,67,11299
Escape Plan 2: Hades,2018,"Action, Crime, Mystery",96,3.8,,22503
Leave No Trace,2018,Drama,109,7.2,88,36899
The Possession of Hannah Grace,2018,"Horror, Mystery, Thriller",86,5.2,37,13878
If Beale Street Could Talk,2018,"Drama, Romance",119,7.2,87,29612
The Sun Is Also a Star,2019,"Drama, Romance",100,5.6,52,2385
Shot Caller,2017,"Crime, Drama, Thriller",121,7.3,59,60955
London Fields,2018,"Crime, Mystery, Thriller",118,4.3,16,3455
Goosebumps 2: Haunted Halloween,2018,"Adventure, Comedy, Family",90,5.6,53,13095
Wildlife,2018,Drama,105,6.9,80,16718
Unlocked I ,2017,"Action, Drama, Mystery",98,6.2,46,24878
Poms,2019,"Comedy, Drama, Sport",90,5.7,36,2002
The Layover I ,2017,"Comedy, Romance",88,4.7,15,10777
Triple Threat,2019,"Action, Thriller",96,5.5,60,6644
Alpha,2018,"Adventure, Drama, Family",96,6.7,63,45421
Jacob's Ladder,2019,"Drama, Horror, Mystery",89,3.1,31,959
The Emoji Movie,2017,"Animation, Adventure, Comedy",86,3.2,12,49854
"Juliet, Naked",2018,"Comedy, Drama, Music",97,6.6,67,13644
The Big Sick,2017,"Comedy, Drama, Romance",120,7.6,86,107131
Disobedience,2017,"Drama, Romance",114,6.6,74,19841
Drunk Parents,2019,Comedy,97,3.7,,2793
The Cloverfield Paradox,2018,"Drama, Horror, Mystery",102,5.5,37,85730
The First Purge,2018,"Action, Horror, Sci-Fi",98,5.1,54,44489
Book Club I ,2018,"Comedy, Drama, Romance",104,6.1,53,20598
Thoroughbreds,2017,"Crime, Drama, Thriller",92,6.7,75,26896
The Square,2017,"Comedy, Drama",151,7.2,73,45807
Little I ,2019,"Comedy, Fantasy, Romance",109,5.4,49,6348
The Florida Project,2017,Drama,111,7.6,92,75093
Cult of Chucky,2017,"Comedy, Fantasy, Horror",91,5.1,69,18073
Johnny English Strikes Again,2018,"Action, Adventure, Comedy",89,6.2,39,51537
The Kid Who Would Be King,2019,"Action, Adventure, Family",120,6.0,66,10045
The Circle I ,2017,"Drama, Sci-Fi, Thriller",110,5.3,43,74689
What Men Want,2019,"Comedy, Fantasy, Romance",117,5.1,49,13223
The Book of Henry,2017,"Crime, Drama, Thriller",105,6.6,31,20781
22 July,2018,"Crime, Drama, History",143,6.7,69,21294
The House with a Clock in Its Walls,2018,"Comedy, Fantasy, Horror",105,6.0,57,35948
The Best of Enemies,2019,"Biography, Drama, History",133,7.0,49,4042
It Comes at Night,2017,"Horror, Mystery",91,6.2,78,71241
CHIPS,2017,"Action, Comedy, Crime",100,6.0,28,38205
Wonder Park,2019,"Animation, Adventure, Comedy",85,5.8,45,6048
Home Again,2017,"Comedy, Drama, Romance",97,5.8,41,23822
The Prodigy,2019,"Horror, Thriller",92,5.9,45,15361
Slender Man,2018,"Horror, Mystery, Thriller",93,3.2,30,21657
"Don't Worry, He Won't Get Far on Foot",2018,"Biography, Comedy, Drama",114,6.9,67,15771
Lying and Stealing,2019,"Crime, Drama",100,5.2,50,1596
A Vigilante,2018,"Crime, Drama, Mystery",91,5.6,68,3625
The Darkest Minds,2018,"Action, Adventure, Drama",104,5.7,39,23682
The World We Make,2019,Drama,108,4.4,,231
Despicable Me 3,2017,"Animation, Adventure, Comedy",89,6.3,49,97015
I Feel Pretty,2018,"Comedy, Romance",110,5.5,48,41925
Tone-Deaf,2019,"Comedy, Horror, Thriller",87,4.8,,981
The Lego Batman Movie,2017,"Animation, Action, Comedy",104,7.3,75,119596
Stuber,2019,"Action, Comedy, Crime",93,6.2,42,9147
Mary Shelley,2017,"Biography, Drama, History",120,6.4,49,9559
Insidious: The Last Key,2018,"Horror, Mystery, Thriller",103,5.7,49,44498
